Z	A	Isomer	Sym	5	8	10	15	20	25	30	40	50	60	80	100(keV); reaction rate including SEF in cm3/mole/s
35	79		Br	1.05e+8	-	9.93e+7	9.63e+7	9.44e+7	9.29e+7	9.15e+7	8.97e+7	8.77e+7	8.86e+7	8.55e+7	7.71e+7	
35	81		Br	4.36e+7	-	3.95e+7	3.66e+7	3.65e+7	3.55e+7	3.48e+7	3.40e+7	3.32e+7	3.41e+7	3.37e+7	3.12e+7	
36	78		Kr	1.98e+7	-	3.04e+7	3.86e+7	4.26e+7	4.50e+7	4.68e+7	4.97e+7	5.18e+7	5.39e+7	5.82e+7	6.28e+7	
36	79		Kr	1.02e+8	-	1.17e+8	1.27e+8	1.33e+8	1.38e+8	1.42e+8	1.49e+8	1.53e+8	1.54e+8	1.53e+8	1.49e+8	
36	80		Kr	5.56e+7	-	5.06e+7	4.16e+7	4.02e+7	3.94e+7	3.89e+7	3.99e+7	4.10e+7	4.16e+7	4.29e+7	4.38e+7	
36	81		Kr	8.26e+7	-	8.34e+7	8.58e+7	8.60e+7	8.51e+7	8.40e+7	8.15e+7	7.94e+7	7.77e+7	7.52e+7	7.33e+7	
36	82		Kr	7.14e+6	-	1.03e+7	1.22e+7	1.27e+7	1.30e+7	1.31e+7	1.35e+7	1.34e+7	1.42e+7	1.48e+7	1.54e+7	
36	83		Kr	5.26e+7	-	4.88e+7	4.04e+7	3.78e+7	3.59e+7	3.43e+7	3.21e+7	2.90e+7	2.94e+7	2.76e+7	2.67e+7	
36	84		Kr	1.55e+7	-	7.91e+6	7.62e+6	6.54e+6	5.99e+6	5.54e+6	5.05e+6	4.89e+6	4.74e+6	4.52e+6	4.52e+6	
36	85		Kr	1.03e+7	-	9.51e+6	8.96e+6	8.57e+6	8.25e+6	8.01e+6	7.57e+6	7.34e+6	7.21e+6	6.90e+6	6.64e+6	
36	86		Kr	1.25e+5	-	2.69e+5	3.71e+5	4.40e+5	4.65e+5	4.95e+5	4.88e+5	4.70e+5	4.53e+5	4.28e+5	3.99e+5	
37	85		Rb	4.19e+7	-	3.95e+7	3.76e+7	3.63e+7	3.51e+7	3.40e+7	3.23e+7	3.08e+7	2.97e+7	2.81e+7	2.60e+7	
37	86		Rb	2.68e+7	-	2.69e+7	2.82e+7	2.89e+7	2.93e+7	2.94e+7	2.94e+7	2.93e+7	2.93e+7	2.90e+7	2.86e+7	
37	87		Rb	2.13e+6	-	2.08e+6	2.15e+6	2.22e+6	2.21e+6	2.29e+6	2.35e+6	2.39e+6	2.43e+6	2.54e+6	2.62e+6	
38	84		Sr	4.29e+7	-	4.27e+7	4.34e+7	4.33e+7	4.34e+7	4.37e+7	4.42e+7	4.38e+7	4.33e+7	4.12e+7	4.02e+7	
38	86		Sr	1.25e+7	-	1.13e+7	1.03e+7	1.02e+7	9.44e+6	9.32e+6	8.92e+6	8.65e+6	8.45e+6	8.09e+6	7.71e+6	
38	87		Sr	2.05e+7	-	1.74e+7	1.60e+7	1.51e+7	1.46e+7	1.34e+7	1.28e+7	1.22e+7	1.15e+7	1.07e+7	1.01e+7	
38	88		Sr	6.47e+5	-	9.97e+5	1.02e+6	9.76e+5	9.33e+5	8.93e+5	8.48e+5	8.18e+5	8.14e+5	8.47e+5	8.94e+5	
38	89		Sr	4.10e+6	-	3.62e+6	3.30e+6	3.09e+6	2.93e+6	2.77e+6	2.52e+6	2.44e+6	2.47e+6	2.38e+6	2.13e+6	
39	89		Y	4.04e+6	-	3.36e+6	3.09e+6	2.97e+6	2.79e+6	2.77e+6	2.69e+6	2.63e+6	2.68e+6	2.62e+6	2.66e+6	
40	90		Zr	2.64e+6	-	2.63e+6	2.66e+6	2.70e+6	2.75e+6	2.81e+6	2.88e+6	2.91e+6	2.95e+6	2.95e+6	2.93e+6	
40	91		Zr	1.39e+7	-	1.19e+7	1.07e+7	1.01e+7	9.43e+6	9.03e+6	8.44e+6	8.14e+6	7.70e+6	7.73e+6	7.34e+6	
40	92		Zr	7.10e+6	-	5.90e+6	5.17e+6	4.77e+6	4.48e+6	4.38e+6	4.29e+6	4.46e+6	4.70e+6	4.99e+6	5.58e+6	
40	93		Zr	2.02e+7	-	1.79e+7	1.66e+7	1.56e+7	1.46e+7	1.38e+7	1.26e+7	1.16e+7	1.11e+7	1.03e+7	9.57e+6	
40	94		Zr	4.40e+6	-	4.37e+6	4.12e+6	3.92e+6	3.85e+6	3.79e+6	3.87e+6	4.14e+6	4.53e+6	4.99e+6	5.58e+6	
40	95		Zr	1.76e+7	-	1.56e+7	1.40e+7	1.30e+7	1.21e+7	1.15e+7	1.06e+7	1.02e+7	9.68e+6	9.27e+6	9.05e+6	
40	96		Zr	3.33e+6	-	2.35e+6	1.96e+6	1.66e+6	1.59e+6	1.56e+6	1.40e+6	1.28e+6	1.19e+6	1.05e+6	9.30e+5	
41	93		Nb	5.27e+7	-	4.74e+7	4.40e+7	4.16e+7	3.96e+7	3.80e+7	3.54e+7	3.36e+7	3.20e+7	2.97e+7	2.80e+7	
41	94		Nb	5.50e+7	-	6.50e+7	6.94e+7	6.98e+7	6.83e+7	6.61e+7	6.14e+7	5.73e+7	5.40e+7	4.96e+7	4.66e+7	
41	95		Nb	5.30e+7	-	5.21e+7	5.01e+7	4.83e+7	4.67e+7	4.51e+7	4.29e+7	4.10e+7	3.97e+7	3.78e+7	3.66e+7	
